15|China Mobile
130|China Unicom
131|China Unicom
132|China Unicom
133|China Telecom
135|China Mobile
136|China Mobile
137|China Mobile
138|China Mobile
139|China Mobile
145|China Unicom
147|China Mobile
153|China Telecom
155|China Unicom
156|China Unicom
166|China Unicom
171|China Unicom
172|China Mobile
173|China Telecom
174|China Telecom
175|China Unicom
176|China Unicom
177|China Telecom
178|China Mobile
180|China Telecom
181|China Telecom
182|China Mobile
183|China Mobile
184|China Mobile
185|China Unicom
186|China Unicom
187|China Mobile
188|China Mobile
189|China Telecom
198|China Telecom
199|China Telecom
1340|China Mobile
1341|China Mobile
1342|China Mobile
1343|China Mobile
1344|China Mobile
1345|China Mobile
1346|China Mobile
1347|China Mobile
1348|China Mobile
1700|China Telecom
1701|China Telecom
1702|China Telecom
1703|China Mobile
1704|China Unicom
1705|China Mobile
1706|China Mobile
1707|China Unicom
1708|China Unicom
1709|China Unicom
